orgnr;navn;ansatte;hjemmeside;beskrivelse;auto_kategori;auto_ord;auto_typer;manual_informativ (ja/nei);manual_forretningstype
910909177;BØHN REGNSKAP A/S;19;;Drive regnskapsbyrå, utføre datatjenester, erverve aksjer i selskaper som det utføres oppdrag for, konsulentvirksomhet og annen tjenesteyting og hva herved står i forbindelse, herunder å delta i andre foretakender med lignende virksomhet.;specific;datatjenester ender erverve oppdrag selskaper utføre utføres;bookkeeping core, advisory, IT/data services;;
935018366;BØLGEN ØKONOMIPARTNER AS;6;;Regnskapsføring.;boilerplate;;bookkeeping core;;
927547767;BØR ØKONOMI AS;5;;Drift av regnskapskontor, med tilhørende tjenester og økonomisk bistand.;generic;tilhørende;bookkeeping core;;
985698686;BÅRSETH REGNSKAP AS;6;;Bokføring av bilag med tilhørende funksjoner innenfor området regnskap, rådgivning og annen økonokisk bistand.;specific;bilag funksjoner området tilhørende økonokisk;bookkeeping core, advisory;;
935905397;CADDIE REGNSKAP AS;8;;Regnskapsføring.;boilerplate;;bookkeeping core;;
934261356;CENDRO AS;5;;Eie og forvalte finansielle eiendeler, fordringer, kontraktsrettigheter og andre formuesverdier, foreta investeringer samt annen virksomhet som naturlig står i forbindelse med dette.;specific;eie eiendeler finansielle fordringer foreta formuesverdier forvalte kontraktsrettigheter;;;
916760590;CENSEA REGNSKAP AS;13;;Regnskapsbyrå.;boilerplate;;bookkeeping core;;
925986240;CHECK ACCOUNTING AS;11;www.c-acc.no;Regnskapsføring og administrative tjenester, samt alt som hører naturlig til dette.;generic;administrative;bookkeeping core;;
984868650;CHRISTIANIA REGNSKAPSKONTOR AS;8;;Virksomheten utvides til også å gjelde regnskapstjenester;generic;gjelde utvides;bookkeeping core;;
989710427;CIFERO AS;12;www.cifero.no;Regnskapsføring for andre samt rådgivning innen forretningsutvikling.;generic;forretningsutvikling;bookkeeping core, advisory;;
926288652;CIFFER AS;5;;Salg av regnskapstjenester og øvrige tjenester som naturlig er i forbindelse med dette, samt annen økonomisk bistand og rådgivning.;generic;øvrige;bookkeeping core, advisory;;
919374179;CJB REGNSKAP AS;7;;Salg av tjenester innen regnskapsførsel og bedriftsrådgivning, samt det som naturlig står i forbindelse med dette.;generic;bedriftsrådgivning;bookkeeping core, advisory;;
986778772;CLARKSONS BUSINESS MANAGEMENT AS;7;www.clarksons.com;Forretningsførsel og føre regnskap for andre.;generic;forretningsførsel føre;bookkeeping core;;
980392198;COAST CORPORATE SERVICES AS;10;coast.no;Regnskapstjenester, hovedkontortjenester, IT-tjenester, konsulenttjenester, bemanning.;specific;bemanning hovedkontortjenester it-tjenester;bookkeeping core, advisory, IT/data services;;
996480224;COLLEGIUM ØKONOMI AS;15;;Omsetning av regnskapstjenester og økonomisk rådgivning.;generic;omsetning;bookkeeping core, advisory;;
950070137;COLUMBI REGNSKAP AS;10;www.columbiregnskap.no;Drive regnskapsvirksomhet, konsulentvirksomhet, inkasso, finansiering, forsikring, salg av EDB samt alt som hører inn under dette, også medvirk- ning i andre selskaper.;specific;edb finansiering forsikring inkasso inn medvirk- ning regnskapsvirksomhet selskaper;bookkeeping core, advisory, IT/data services;;
914445426;COLUMBI SERVICES AS;16;;Regnskapskontor og regnskapstjenester.;boilerplate;;bookkeeping core;;
992886625;COMPLÉR ACCOUNTING AS;29;;Utføre forretningsførsel for eksterne klienter,- herunder regnskapsførsel og generell administrasjonsbistand, samt alt hva hertil naturlig hører. Selskapet kan delta i annen virksomhet.;specific;administrasjonsbistand delta eksterne forretningsførsel hertil klienter utføre;bookkeeping core;;
986112146;COMPLETE CONSULTING AS;10;;Autorisert regnskapsførerselskap, konsulenter innen administrasjon, økonomi og datadrift.;specific;administrasjon autorisert datadrift konsulenter regnskapsførerselskap;bookkeeping core, advisory, IT/data services;;
916165994;COMPLETUM AS;5;;Regnskapsføring, konsulentvirksomhet og hva dermed står i forbindelse, samt ved aksjetegning eller på annen måte deltagelse i andre selskap.;specific;aksjetegning deltagelse måte;bookkeeping core, advisory;;
926172212;COMPUTE ADVISOR AS;8;;Økonomisk og administrativ rådgivning samt salg av regnskapstjenester og tilhørende rådgivning innen regnskap og skatt.;generic;administrativ tilhørende;bookkeeping core, advisory, audit/tax;;
922919917;CONTÉR SERVICES AS;7;;Økonomitjenester, regnskapstjenester, IT-tjenester, konsulenttjenester og annet som naturlig faller sammen med det.;specific;faller it-tjenester økonomitjenester;bookkeeping core, advisory, IT/data services;;
