orgnr;navn;ansatte;har_regnskap;valuta;regnskapsregler;smaaForetak;avviklingsregnskap;kalenderaar;periode_slutt;sumDriftsinntekter;driftsresultat;sumEiendeler;aar_tilgjengelig;sammenlignbar
919041021;NEONOMICS AS;17;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;10919403;-70018863;117793912;9;True
933458393;TERKI AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;10354442;2019306;4802077;2;True
918166769;BREACH AS;28;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;80198996;38417636;77775914;9;True
929917316;SB TECH AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;7730487;541247;9133209;4;True
833663852;NUTO AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;321112;-309327;477313;2;True
995743566;NOA IGNITE AS;119;True;NOK;regnskapslovenAlminneligRegler;False;False;True;2025-12-31;251828329;8949332;103617756;15;True
915979025;WITTARIO AS;20;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;7984789;-4981039;40024938;10;True
991543732;GURUSOFT AS;49;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;63385778;4055769;20630273;15;True
933876179;AIMZ AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;1342332;-649473;3606157;2;True
925772364;ROADGUARD AS;12;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;12391468;-5860101;15155282;6;True
